"incident_number","arrest_date","gender","race","age","charge","most_serious"
"13BU020461",2013-08-08 15:00:00,"Male - M","Black - B",46,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU020493",2013-08-08 22:28:30,"Female - F","White - W",41,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU020508",2013-08-09 01:14:33,"Female - F","White - W",29,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU020508",2013-08-09 01:14:33,"Female - F","White - W",29,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU020513",2013-08-09 03:16:16,"Male - M","Black - B",22,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU020513",2013-08-09 02:00:00,"Male - M","White - W",21,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU020513",2013-08-09 02:00:00,"Male - M","White - W",21,"Impeding Public Officers 13 VSA 3001 90Z",0
"13BU020514",2013-08-09 02:40:00,"Male - M","White - W",24,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU020593",2013-09-06 12:00:00,"Male - M","White - W",31,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"13BU020605",2013-08-09 20:18:00,"Male - M","White - W",25,"Domestic Assault 13 VSA 1042 13B",1
"13BU020605",2013-08-09 20:18:00,"Male - M","White - W",25,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",0
"13BU020607",2013-08-09 19:47:33,"Female - F","White - W",15,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying 13 VSA 2575(1) 23C",1
"13BU020616",2013-08-09 20:37:04,"Female - F","White - W",38,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU020636",2013-08-09 23:42:00,"Male - M","White - W",20,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU020660",2013-08-10 02:44:10,"Male - M","Black - B",49,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU020663",2013-08-10 04:48:30,"Female - F","White - W",24,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",1
"13BU020689",2013-08-10 11:40:00,"Male - M","White - W",19,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU020703",2013-08-10 15:58:47,"Male - M","Unknown - U",24,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU020703",2013-08-10 17:19:35,"Male - M","Unknown - U",24,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU020703",2013-08-10 17:20:16,"Male - M","Unknown - U",24,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU020707",2013-08-10 17:13:30,"Male - M","Black - B",15,"Simple Assault 13 VSA 1023 13B",1
"13BU020733",2013-08-10 22:16:24,"Female - F","White - W",26,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU020758",2013-08-11 00:15:00,"Male - M","White - W",29,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU020760",2013-08-11 00:34:01,"Female - F","White - W",18,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU020834",2013-08-12 02:47:22,"Male - M","White - W",26,"Aggravated Assault 13 VSA 1024 13A",1
"13BU020834",2013-08-12 03:32:40,"Male - M","White - W",21,"Aggravated Assault 13 VSA 1024 13A",1
"13BU020834",2013-08-12 19:19:23,"Female - F","White - W",18,"Impeding Public Officers 13 VSA 3001 90Z",1
"13BU020845",2013-08-12 03:44:00,"Female - F","White - W",51,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",1
"13BU020845",2013-08-12 03:44:00,"Female - F","White - W",51,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU020857",2013-08-12 10:16:53,"Female - F","White - W",28,"Failure To Return A Rented Or Leased Motor Vehicle 13 VSA 2592 26A",1
"13BU020862",2013-08-26 13:35:00,"Male - M","White - W",29,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",1
"13BU020885",2013-08-14 10:00:00,"Male - M","Asian - A",43,"Simple Assault 13 VSA 1023 13B",1
"13BU020885",2013-08-13 16:30:00,NA,NA,NA,"Simple Assault 13 VSA 1023 13B",1
"13BU020887",2013-08-12 14:15:25,"Male - M","White - W",30,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU020892",2013-08-12 16:11:02,"Male - M","White - W",36,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",1
"13BU020896",2013-10-01 20:00:00,"Male - M","Black - B",20,"False Pretenses 13 VSA 2002 26A",1
"13BU020922",2013-08-12 18:26:00,"Male - M","White - W",52,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU020953",2013-08-13 04:15:00,"Male - M","Black - B",20,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU020967",2013-08-13 07:12:27,"Male - M","White - W",31,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU021005",2013-08-14 11:30:00,"Female - F","White - W",26,"Simple Assault 13 VSA 1023 13B",1
"13BU021005",2013-08-14 11:30:00,"Female - F","White - W",26,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU021005",2013-08-14 11:30:00,"Female - F","White - W",26,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU021005",2013-08-14 11:30:00,"Female - F","White - W",29,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU021005",2013-08-14 11:30:00,"Female - F","White - W",29,NA,0
"13BU021005",2013-08-14 11:30:00,"Female - F","White - W",29,NA,0
"13BU021009",2013-08-13 14:42:00,"Male - M","Black - B",28,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying 13 VSA 2575(1) 23C",1
"13BU021009",2013-08-13 14:42:00,"Male - M","Black - B",28,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",0
"13BU021015",2013-08-13 17:20:00,"Female - F","White - W",27,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",1
"13BU021019",2013-08-13 16:50:00,"Male - M","White - W",53,"Domestic Assault 13 VSA 1042 13B",1
"13BU021029",2013-08-13 17:29:00,"Male - M","White - W",52,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",1
"13BU021029",2013-08-13 17:29:00,"Male - M","White - W",52,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",0
"13BU021074",2013-08-14 04:13:22,"Male - M","White - W",24,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU021093",2013-08-14 09:17:23,"Male - M","White - W",32,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU021123",2013-08-14 16:04:23,"Male - M","White - W",55,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU021124",2013-08-14 16:28:57,"Male - M","White - W",18,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",1
"13BU021134",2013-08-14 16:50:28,"Male - M","White - W",52,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU021146",2013-08-14 17:39:36,"Female - F","White - W",30,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU021156",2013-08-14 17:56:00,"Female - F","White - W",26,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU021156",2013-08-14 17:56:00,"Female - F","White - W",26,"Driving With A Criminally Suspended License 23 VSA 674 90Z",NA
"13BU021166",2013-08-14 23:05:00,"Male - M","White - W",51,"Simple Assault 13 VSA 1023 13B",1
"13BU021191",2013-08-15 00:43:34,"Female - F","White - W",19,"False Information To A Police Officer 13 VSA 1754 90Z",1
"13BU021262",2013-08-15 18:25:52,"Male - M","White - W",26,"Domestic Assault 13 VSA 1042 13B",1
"13BU021262",2013-08-15 18:25:52,"Male - M","White - W",26,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU021299",2013-08-15 18:23:12,"Male - M","White - W",54,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU021336",2013-08-15 23:06:00,"Female - F","White - W",44,"Drugs - Cocaine, Sale <2.5 Gm 18 VSA 4231(B)(1) 35A",1
"13BU021341",2013-08-16 00:09:00,"Female - F","White - W",24,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU021344",2013-08-16 00:45:00,"Male - M","White - W",30,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",1
"13BU021365",2013-08-16 04:25:00,NA,NA,NA,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU021365",2013-08-16 04:25:00,NA,NA,NA,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"13BU021377",2013-08-16 10:19:06,"Female - F","White - W",29,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU021402",2013-08-16 16:30:00,"Male - M","White - W",38,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU021407",2013-09-20 12:59:00,"Male - M","White - W",43,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"13BU021429",2013-08-16 21:00:00,"Male - M","White - W",24,"Grossly Negligent Operation 23 VSA 1091(B) 90Z",1
"13BU021455",2013-08-17 01:21:00,"Male - M","White - W",28,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU021457",2013-08-17 02:36:57,"Female - F","White - W",24,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU021517",2013-08-17 21:27:33,"Female - F","Black - B",46,"Leaving Scene Of An Accident 23 VSA 1128(A) 90Z",1
"13BU021534",2013-08-18 00:40:28,NA,NA,NA,NA,1
"13BU021573",2013-08-18 03:06:00,"Male - M","White - W",42,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",1
"13BU021579",2013-08-18 03:47:00,"Male - M","Black - B",49,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU021590",2013-08-18 15:45:00,"Male - M","White - W",23,"Sexual Assault 13 VSA 3252 11A",1
"13BU021590",2013-08-18 15:45:00,"Male - M","White - W",23,"Unlawful Restraint - 2nd Degree 13 VSA 2406 100",0
"13BU021606",2013-08-18 12:54:00,"Male - M","White - W",23,"Simple Assault 13 VSA 1023 13B",1
"13BU021624",2013-08-18 21:04:00,"Male - M","Black - B",30,"Domestic Assault 13 VSA 1042 13B",1
"13BU021640",2013-08-19 18:48:00,"Male - M","White - W",55,"Aggravated Assault 13 VSA 1024 13A",1
"13BU021640",2013-08-19 18:48:00,"Male - M","White - W",55,"Driving Under The Influence - First Offense 23 VSA 1201 90D",0
"13BU021645",2013-08-18 20:43:48,"Female - F","Black - B",21,"Petit Larceny From Other Location 13 VSA 2502 23H",1
"13BU021673",2013-08-19 03:55:38,"Male - M","Black - B",28,"Domestic Assault 13 VSA 1042 13B",1
"13BU021680",2013-08-26 16:15:00,"Male - M","White - W",18,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",1
"13BU021680",2013-08-28 10:00:00,NA,NA,NA,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"13BU021705",2013-08-19 13:50:00,NA,NA,NA,"Domestic Assault - 1st Degree Aggravated 13 VSA 1043 13A",1
"13BU021722",2013-08-19 16:42:38,"Male - M","White - W",52,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU021725",2013-08-19 17:41:26,"Male - M","Black - B",28,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU021735",2013-08-19 18:36:25,"Male - M","Unknown - U",24,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU021740",2013-08-19 20:07:26,"Male - M","White - W",38,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU021753",2013-08-31 03:01:00,"Male - M","Black - B",24,"Assault And Robbery 13 VSA 608 120",1
"13BU021787",2013-08-20 13:18:56,"Male - M","White - W",20,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"13BU021790",2013-08-20 11:11:00,"Male - M","White - W",18,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",1
"13BU021790",2013-08-20 11:11:00,"Male - M","White - W",18,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU021829",2013-09-20 13:06:00,"Male - M","White - W",43,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",1
"13BU021832",2013-09-24 16:15:00,"Male - M","White - W",31,"Burglary 13 VSA 1201 220",1
"13BU021832",2013-09-24 16:15:00,"Male - M","White - W",31,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",0
"13BU021840",2013-08-21 01:27:22,"Male - M","White - W",20,"Negligent Operation 23 VSA 1091(A) 90Z",1
"13BU021870",2013-08-21 03:09:43,"Male - M","White - W",19,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU021872",2013-08-21 03:41:00,"Male - M","White - W",20,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU021872",2013-08-21 04:41:59,"Male - M","White - W",24,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU021876",2013-08-21 05:22:00,NA,NA,NA,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU021876",2013-08-21 05:22:00,NA,NA,NA,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU021887",2013-08-21 08:47:00,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU021890",2013-09-05 16:39:00,"Male - M","White - W",20,"Sexual Assault 13 VSA 3252 11A",1
"13BU021911",2013-08-27 09:45:00,"Male - M","White - W",31,"Burglary 13 VSA 1201 220",1
"13BU021911",2013-08-27 09:45:00,"Male - M","White - W",31,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",0
"13BU021911",2013-08-27 09:45:00,"Male - M","White - W",31,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"13BU021929",2013-08-21 17:38:00,"Male - M","White - W",24,"Larceny From A Person 13 VSA 2503 23H",1
"13BU021944",2013-08-21 19:34:11,NA,NA,NA,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU021957",2013-08-22 00:17:59,"Male - M","White - W",30,"Stolen Property Receiving (Possession Of) Stolen Property (Felony) 13 VSA 2561 280",1
"13BU021972",2013-08-22 00:18:00,"Male - M","White - W",28,"Aggravated Assault 13 VSA 1024 13A",1
"13BU021972",2013-08-22 00:18:00,"Male - M","White - W",28,"Lewd And Lascivious Conduct 13 VSA 2601 90Z",0
"13BU021972",2013-08-22 00:18:00,"Male - M","White - W",28,"Unlawful Restraint - 1st Degree 13 VSA 2407 100",0
"13BU021972",2013-08-22 00:18:00,"Male - M","White - W",28,"Interference With Access To Emergency Services 13 VSA 1031 90Z",0
"13BU021985",2013-08-22 06:11:29,"Male - M","White - W",23,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU022007",2013-08-22 12:30:00,"Male - M","White - W",30,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022007",2013-08-28 16:00:00,NA,NA,NA,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022015",2013-08-22 15:37:49,"Female - F","Black - B",21,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022015",2013-08-22 15:37:49,"Female - F","Black - B",21,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"13BU022015",2013-08-22 13:12:00,"Female - F","White - W",20,"Simple Assault 13 VSA 1023 13B",1
"13BU022037",2013-08-30 10:05:00,"Male - M","White - W",39,"False Alarms To Public Safety 13 VSA 1751(A) 90Z",1
"13BU022037",2013-08-30 10:05:00,"Male - M","White - W",39,"False Information To A Police Officer 13 VSA 1754 90Z",0
"13BU022075",2013-08-22 22:51:09,"Male - M","White - W",49,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022127",2013-08-23 14:42:57,"Female - F","White - W",39,"Cruelty To Children By One Over 16 13 VSA 1304 90Z",1
"13BU022145",2013-09-24 10:30:00,"Male - M","White - W",29,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022151",2013-08-25 09:22:00,"Male - M","White - W",36,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",1
"13BU022156",2013-08-23 18:48:04,NA,NA,NA,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU022158",2013-08-23 19:00:00,"Male - M","White - W",19,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022181",2013-08-23 22:00:00,"Male - M","White - W",42,"Sex Offender Registry Violation (Misdemeanor) 13 VSA 5407 90Z",1
"13BU022181",2013-08-23 22:00:00,"Male - M","White - W",42,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU022181",2013-08-23 22:22:00,"Male - M","White - W",29,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU022181",2013-08-23 22:22:00,"Male - M","White - W",29,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor 18 VSA 4234(A)(1) 35A",0
"13BU022230",2013-08-24 08:41:31,"Male - M","White - W",46,"Petit Larceny Other 13 VSA 2502 23H",1
"13BU022269",2013-08-24 18:40:00,"Male - M","Asian - A",26,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU022270",2013-08-24 18:36:46,"Female - F","White - W",53,"Retail Theft (Misdemeanor) 13 VSA 2575 23C",1
"13BU022285",2013-08-24 20:50:00,"Female - F","White - W",52,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU022308",2013-08-26 04:27:00,"Female - F","White - W",24,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",1
"13BU022343",2013-08-25 02:40:00,"Male - M","Black - B",55,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",1
"13BU022343",2013-08-25 02:40:00,"Male - M","Black - B",55,"Resisting Arrest 13 VSA 3017 90Z",0
"13BU022343",2013-08-25 02:40:00,"Male - M","Black - B",55,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU022365",2013-08-25 14:46:19,"Male - M","White - W",47,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU022370",2013-08-25 17:29:47,"Female - F","White - W",15,"Aggravated Assault 13 VSA 1024 13A",1
"13BU022383",2013-08-25 18:30:00,"Male - M","Unknown - U",24,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",1
"13BU022400",2013-08-25 21:28:55,NA,NA,NA,"False Public Alarms 13 VSA 1753 90Z",1
"13BU022414",2013-08-26 02:03:12,NA,NA,NA,"False Alarms To Public Safety 13 VSA 1751(A) 90Z",0
"13BU022414",2013-08-26 02:03:12,NA,NA,NA,"Petit Larceny From A Motor Vehicle 13 VSA 2502 23F",0
"13BU022414",2013-08-26 02:03:12,NA,NA,NA,"Reckless Endangerment 13 VSA 1025 13C",1
"13BU022462",2013-08-26 14:37:04,"Male - M","White - W",30,NA,1
"13BU022465",2013-08-26 19:35:24,"Male - M","White - W",45,"Resisting Arrest 13 VSA 3017 90Z",1
"13BU022465",2013-08-26 19:35:24,"Male - M","White - W",45,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU022465",2013-08-26 19:35:24,"Male - M","White - W",45,"Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290",0
"13BU022475",2013-08-26 18:05:41,"Male - M","Black - B",15,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022486",2013-08-26 19:11:46,"Female - F","White - W",54,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU022511",2013-08-27 01:33:34,"Male - M","White - W",28,"Theft Of Services (Misdemeanor) 13 VSA 2582 23H",1
"13BU022544",2013-08-27 13:40:00,"Male - M","White - W",41,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",1
"13BU022544",2013-10-05 15:46:00,"Male - M","White - W",42,"Petit Larceny From A Building/Residence/Structure 13 VSA 2502 23H",1
"13BU022548",2013-08-27 16:11:29,"Male - M","White - W",33,"Driving With A Criminally Suspended License 23 VSA 674 90Z",1
"13BU022551",2013-08-27 12:57:01,"Male - M","White - W",29,"Drugs - Heroin, Sale 200+ Milligrams 18 VSA 4233(A)(2) 35A",1
"13BU022551",2013-08-27 12:57:01,"Male - M","White - W",29,"Drugs - Cocaine, Sale <2.5 Gm 18 VSA 4231(B)(1) 35A",0
"13BU022551",2013-08-27 12:57:01,"Male - M","White - W",29,"Conspiracy 13 VSA 1404 90Z",0
"13BU022551",2013-08-27 12:57:01,"Male - M","White - W",29,"Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor) 13 VSA 2561 280",0
"13BU022551",2013-08-27 12:57:01,"Male - M","White - W",29,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU022551",2013-10-03 17:06:49,"Female - F","White - W",31,"Drugs - Heroin, Sale 200+ Milligrams 18 VSA 4233(A)(2) 35A",1
"13BU022551",2013-10-03 17:06:49,"Female - F","White - W",31,"Drugs - Cocaine, Sale <2.5 Gm 18 VSA 4231(B)(1) 35A",0
"13BU022551",2013-10-03 17:06:49,"Female - F","White - W",31,"Conspiracy 13 VSA 1404 90Z",0
"13BU022551",2013-10-03 17:06:49,"Female - F","White - W",31,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU022551",2013-10-03 17:06:49,"Female - F","White - W",31,NA,0
"13BU022564",2013-08-27 15:31:23,"Female - F","White - W",27,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU022568",2013-08-27 16:14:55,NA,NA,NA,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022568",2013-08-27 16:02:00,"Male - M","White - W",24,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022605",2013-08-28 00:56:33,"Male - M","White - W",31,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU022605",2013-08-28 19:15:00,"Male - M","White - W",50,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU022618",2013-08-28 02:17:00,"Male - M","White - W",32,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU022630",2013-08-28 08:56:03,"Male - M","White - W",51,"Disorderly Conduct - All Other 13 VSA 1026 90C",1
"13BU022641",2013-08-28 11:17:00,NA,NA,NA,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",1
"13BU022650",2013-08-28 12:56:55,NA,NA,NA,"Stolen Property Receiving (Possession Of) Stolen Property (Felony) 13 VSA 2561 280",1
"13BU022659",2013-08-28 13:40:00,"Male - M","White - W",18,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU022664",2013-08-28 14:18:00,"Male - M","White - W",50,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",1
"13BU022782",2013-08-29 18:07:00,"Male - M","White - W",46,"Domestic Assault 13 VSA 1042 13B",1
"13BU022788",2013-08-29 18:22:32,"Male - M","White - W",32,"Unlawful Trespass (Misdemeanor) 13 VSA 3705 90J",1
"13BU022820",2013-08-30 00:21:00,"Male - M","White - W",20,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU022830",2013-08-30 02:11:00,NA,NA,NA,"False Information To A Police Officer 13 VSA 1754 90Z",1
"13BU022830",2013-08-30 02:11:00,NA,NA,NA,"Disorderly Conduct - All Other 13 VSA 1026 90C",0
"13BU022833",2013-09-02 11:40:00,"Male - M","White - W",31,"Burglary 13 VSA 1201 220",1
"13BU022833",2013-09-02 11:40:00,"Male - M","White - W",31,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact) 13 VSA 7559(F) 90Z",0
"13BU022833",2013-09-02 11:40:00,"Male - M","White - W",31,"Driving With A Criminally Suspended License 23 VSA 674 90Z",0
"13BU022889",2013-08-30 14:30:00,"Male - M","White - W",50,"Violation Of An Abuse Prevention Order 13 VSA 1030 90Z",1
"13BU022889",2013-08-30 14:30:00,"Male - M","White - W",50,"Violation Of Conditions Of Release (Other) 13 VSA 7559(E) 90Z",0
"13BU022904",2013-08-30 16:38:00,NA,NA,NA,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor 18 VSA 4234(A)(1) 35A",1
"13BU023024",2015-03-06 13:25:00,"Male - M","White - W",29,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU023029",2013-08-31 04:05:00,"Female - F","White - W",27,"Grossly Negligent Operation 23 VSA 1091(B) 90Z",1
"13BU023029",2013-08-31 04:05:00,"Female - F","White - W",27,"Eluding A Police Officer - Misdemeanor 23 VSA 1133(B)(1) 90Z",0
"13BU023029",2013-09-06 17:13:47,"Female - F","White - W",27,"Driving Under The Influence - First Offense 23 VSA 1201 90D",1
"13BU023042",2013-08-31 11:29:17,"Male - M","White - W",25,"Driving Under The Influence - Second And Subsequent Offense 23 VSA 1201 90D",1
"13BU023080",2013-08-31 17:45:38,"Male - M","White - W",20,"Burglary 13 VSA 1201 220",1
"13BU023103",2013-08-31 22:46:39,"Male - M","White - W",35,"Lewd And Lascivious Conduct With A Child 13 VSA 2602 11D",1
"13BU023142",2013-09-01 01:45:00,"Male - M","White - W",19,"Simple Assault 13 VSA 1023 13B",1
"13BU023142",2013-09-01 01:45:00,"Male - M","White - W",19,"Resisting Arrest 13 VSA 3017 90Z",0
"13BU023142",2013-09-01 01:45:00,"Male - M","White - W",19,"Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B",0
"13BU023142",2013-09-01 01:45:00,"Male - M","White - W",19,"Aggravated Assault 13 VSA 1024 13A",NA
"13BU023151",2013-09-02 13:38:00,NA,NA,NA,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU023151",2013-09-02 14:02:00,NA,NA,NA,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU023151",2013-09-02 14:30:00,NA,NA,NA,"Burglary 13 VSA 1201 220",1
"13BU023151",2013-09-02 14:30:00,NA,NA,NA,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor 18 VSA 4234(A)(1) 35A",0
"13BU023153",2013-09-01 09:47:31,"Male - M","Black - B",23,"Murder - 1st Degree 13 VSA 2303(A)(1) 09A",1
"13BU023153",2013-09-04 10:31:37,"Male - M","Black - B",25,"Simple Assault 13 VSA 1023 13B",1
"13BU023153",2013-09-04 10:31:37,"Male - M","Black - B",25,"Obstruction Of Justice 13 VSA 3015 90Z",NA
"13BU023180",2013-09-01 21:51:00,"Male - M","Unknown - U",24,"Unlawful Trespass (Felony) 13 VSA 3705(D) 90J",1
"13BU023183",2013-09-01 23:07:00,"Male - M","Black - B",22,"False Information To A Police Officer 13 VSA 1754 90Z",1
"13BU023183",2013-09-01 23:07:41,"Female - F","White - W",23,"Drugs - Ecstasy Possession - 2+ Grams 18 VSA 4235a(A)(2) 35A",1
